seed,repeat,fold,macro_f1
42,0,1,0.4982445674579023
42,0,2,0.4945055772149905
42,0,3,0.48820033713863475
42,0,4,0.4947296090537605
42,0,5,0.494491667438645
42,1,1,0.48866538614788313
42,1,2,0.49174888388091254
42,1,3,0.49561204749418214
42,1,4,0.4989601338193122
42,1,5,0.49998984534518875
2025,0,1,0.49235177148556425
2025,0,2,0.4880443122469944
2025,0,3,0.4891178404109438
2025,0,4,0.5036057986240197
2025,0,5,0.49819262054544167
2025,1,1,0.49539517157220025
2025,1,2,0.49678709890930756
2025,1,3,0.49395698290234086
2025,1,4,0.49495656262406945
2025,1,5,0.4963364855856904
777,0,1,0.49675687734414914
777,0,2,0.490988487355446
777,0,3,0.5009435183585352
777,0,4,0.4924692053221002
777,0,5,0.492490315282641
777,1,1,0.5011694347744
777,1,2,0.49349375299460196
777,1,3,0.4963521971618416
777,1,4,0.48753236682333084
777,1,5,0.4946681979325061
