age,gender,tenure,frequent,payment_interval,subscription_type,contract_length,after_interaction,tenure_per_contract,delay_ratio,idle_ratio,late_flag,total_usage_score,age_group,risk_score,gender_subscription,tenure_x_payint,tenure_x_after,freq_x_after,delay_x_risk,risk_log1p,idle_sq,tenure_q10,payment_interval_q10,after_interaction_q10,tenure_per_contract_q10,TE_subscription_type_c0,TE_subscription_type_c1,TE_subscription_type_c2,TE_age_group_c0,TE_age_group_c1,TE_age_group_c2,TE_gender_c0,TE_gender_c1,TE_gender_c2,TE_contract_length_c0,TE_contract_length_c1,TE_contract_length_c2,TE_gender_subscription_c0,TE_gender_subscription_c1,TE_gender_subscription_c2
54.0,F,47.0,22.0,8.0,member,90,25.0,0.5222222164197532,0.08888888790123459,0.5319148822996834,1,1034.0,50s,33.0,F_member,376.0,1175.0,550.0,2.9333333007407414,3.5263605246161616,0.2829334420118861,9,9,9,9,0.4541299706431812,0.2698825727248465,0.2759874566319722,0.3136503643603035,0.2999023364134926,0.3864472992262039,0.4224800436313154,0.2643661064009123,0.31315384996777235,0.5130460753169884,0.26217045423692,0.2247834704460916,0.41473668118932966,0.2631659405335168,0.32209737827715357
30.0,M,16.0,15.0,5.0,vip,360,23.0,0.04444444432098765,0.013888888850308641,1.4374999101562556,1,240.0,30s,28.0,M_vip,80.0,368.0,345.0,0.38888888780864195,3.367295829986474,2.0664059916992428,9,9,9,9,0.4684572342126299,0.2668265387689848,0.26471622701838526,0.507798660617844,0.2707280190105854,0.22147332037157055,0.4944800977920391,0.2724998089999236,0.23302009320803727,0.5078918455395665,0.2705737331511107,0.22153442130932283,0.49332201471420484,0.2760045274476514,0.23067345783814375
29.0,M,8.0,30.0,21.0,plus,30,21.0,0.26666665777777804,0.6999999766666675,2.6249996718750412,1,240.0,20s,42.0,M_plus,168.0,168.0,630.0,29.399999020000035,3.7612001156935624,6.8906232773440745,9,9,9,9,0.4662095673427928,0.270323461257658,0.2634669713995492,0.5853780922274072,0.15876361081840534,0.2558582969541874,0.4944800977920391,0.2724998089999236,0.23302009320803727,0.2742126195850801,0.27937224551220036,0.4464151349027195,0.5043970201086652,0.26678989525569935,0.2288130846356355
38.0,F,38.0,23.0,10.0,vip,90,6.0,0.42222221753086425,0.11111110987654323,0.15789473268698073,1,874.0,30s,16.0,F_vip,380.0,228.0,138.0,1.7777777580246916,2.833213344056216,0.0249307466102931,9,9,9,9,0.4684572342126299,0.2668265387689848,0.26471622701838526,0.507798660617844,0.2707280190105854,0.22147332037157055,0.4224800436313154,0.2643661064009123,0.31315384996777235,0.5130460753169884,0.26217045423692,0.2247834704460916,0.4357116721551409,0.2552506403219905,0.30903768752286864
25.0,F,52.0,3.0,17.0,member,30,1.0,1.7333332755555575,0.5666666477777784,0.019230768860946754,1,156.0,20s,18.0,F_member,884.0,52.0,3.0,10.199999660000012,2.9444389791664403,0.0003698224709831593,9,9,2,9,0.4541299706431812,0.2698825727248465,0.2759874566319722,0.5853780922274072,0.15876361081840534,0.2558582969541874,0.4224800436313154,0.2643661064009123,0.31315384996777235,0.2742126195850801,0.27937224551220036,0.4464151349027195,0.41473668118932966,0.2631659405335168,0.32209737827715357
53.0,F,50.0,8.0,4.0,plus,30,11.0,1.6666666111111128,0.13333332888888902,0.2199999956000001,1,400.0,50s,15.0,F_plus,200.0,550.0,88.0,1.9999999333333354,2.772588722239781,0.04839999806400007,9,9,9,9,0.4662095673427928,0.270323461257658,0.2634669713995492,0.3136503643603035,0.2999023364134926,0.3864472992262039,0.4224800436313154,0.2643661064009123,0.31315384996777235,0.2742126195850801,0.27937224551220036,0.4464151349027195,0.41590080233406274,0.275200583515682,0.3088986141502553
55.0,F,47.0,1.0,19.0,vip,90,5.0,0.5222222164197532,0.21111110876543213,0.10638297645993668,1,47.0,50s,24.0,F_vip,893.0,235.0,5.0,5.066666610370371,3.2188758248682006,0.01131733768047544,9,9,9,9,0.4684572342126299,0.2668265387689848,0.26471622701838526,0.3136503643603035,0.2999023364134926,0.3864472992262039,0.4224800436313154,0.2643661064009123,0.31315384996777235,0.5130460753169884,0.26217045423692,0.2247834704460916,0.4357116721551409,0.2552506403219905,0.30903768752286864
29.0,F,13.0,1.0,27.0,vip,360,8.0,0.03611111101080247,0.07499999979166667,0.615384568047341,1,13.0,20s,35.0,F_vip,351.0,104.0,8.0,2.6249999927083336,3.58351893845611,0.37869816659081246,9,9,9,9,0.4684572342126299,0.2668265387689848,0.26471622701838526,0.5853780922274072,0.15876361081840534,0.2558582969541874,0.4224800436313154,0.2643661064009123,0.31315384996777235,0.5078918455395665,0.2705737331511107,0.22153442130932283,0.4357116721551409,0.2552506403219905,0.30903768752286864
40.0,M,32.0,7.0,0.0,member,90,15.0,0.35555555160493835,0.0,0.468749985351563,0,224.0,40s,15.0,M_member,0.0,480.0,105.0,0.0,2.772588722239781,0.2197265487670905,9,2,9,9,0.4541299706431812,0.2698825727248465,0.2759874566319722,0.4485299732722413,0.3524245895379916,0.19904543718976708,0.4944800977920391,0.2724998089999236,0.23302009320803727,0.5130460753169884,0.26217045423692,0.2247834704460916,0.4841031085943491,0.27529050905444463,0.2406063823512063
42.0,M,10.0,29.0,1.0,member,360,8.0,0.027777777700617283,0.0027777777700617283,0.7999999200000081,1,290.0,40s,9.0,M_member,10.0,80.0,232.0,0.024999999930555555,2.302585092994046,0.6399998720000193,9,6,9,7,0.4541299706431812,0.2698825727248465,0.2759874566319722,0.4485299732722413,0.3524245895379916,0.19904543718976708,0.4944800977920391,0.2724998089999236,0.23302009320803727,0.5078918455395665,0.2705737331511107,0.22153442130932283,0.4841031085943491,0.27529050905444463,0.2406063823512063
