strategy,fold,macro_f1
baseline_auto_weight,1,0.4978325248413123
baseline_auto_weight,2,0.49456239726640466
baseline_auto_weight,3,0.49187656015628606
baseline_auto_weight,4,0.4964675859010992
baseline_auto_weight,5,0.4949496907510853
manual_class_weights,1,0.49800965064953157
manual_class_weights,2,0.4956488037752116
manual_class_weights,3,0.48961223619945793
manual_class_weights,4,0.49677949247583425
manual_class_weights,5,0.49397276516080524
smotenc,1,0.43443935792228033
smotenc,2,0.4835611701867923
smotenc,3,0.45371040973962806
smotenc,4,0.4830937337591821
smotenc,5,0.4648929986410803
baseline_auto_weight,mean,0.4951377517832375
baseline_auto_weight,std,0.002237857860494442
manual_class_weights,mean,0.49480458965216806
manual_class_weights,std,0.0032610512495050365
smotenc,mean,0.4639395340497926
smotenc,std,0.020782783990805173
